Date,Energy Consumption(MWh),GDP (Trillion US$),Population
2003,56840537,4720000000000,82942837
2004,56840537,5320000000000,84607501
2005,56840537,5920000000000,86261250
2006,56840537,6550000000000,87901835
2007,56840537,7200000000000,89561377
2008,56840537,8050000000000,91252326
2009,56840537,8390000000000,92946951
2010,56840537,9400000000000,94636700
2011,56840537,10140000000000,96377913
2012,56840537,11060000000000,98032317
2013,56840537,12050000000000,99700107
2014,56840537,13210000000000,101325201
2015,56840537,13940000000000,103301365
2016,56840537,15130000000000,104875266
2017,56840537,16560000000000,106738501
2018,56840537,18270000000000,108568836
2019,56840537,19520000000000,110380804
2020,56840537,17950000000000,112190977
2021,56840537,19410000000000,113880328
2022,56840537,22030000000000,115559009
2023,56840537,24320000000000,117337368
